artist_id,artist_name,genres,popularity,followers
6jgrgDBt1SbtNbc25sLaTH,Busker Busker,k-ballad,41,113749
0ixzjrK1wkN2zWBXt3VW3W,Yuuri,j-pop,65,3157431
7j46Sze6UWb7p41IqcYFAp,Catherine Russell,"vocal jazz,swing music,jazz",47,39048
2Y9AUayH5pyZpVfkDYDfJV,Stella Jang,,45,246888
0UEP2XBR9aC5NBKcAKnBIq,CHEN,"k-ballad,soundtrack",55,1589752
5ghNwcHNesKq0Q3zfK39ic,So Soo Bin,,44,74100
4mbvd7ZJ2goftjy1L33LiB,John Park,k-ballad,39,105492
3ErHVJMsxTq2lLSmnONBm9,Roy Kim,"k-ballad,soundtrack",48,393090
7bPs6jf983f0bjRAt1yxDM,Patrick Watson,,70,917479
3VQDqjQ4wJyw8PzpGdlZpB,Colde,,57,695773
0hDjKSKjl1DC7ovYTDJHe8,Bruno Major,,61,1562765
7sS12h1hMwOqXiB5vYdlu8,TOY,k-ballad,23,28848
0i9MWBqCpPeaJu6rJkrOoA,ACOURVE,k-ballad,35,49960
4BBN286rBKyCWsSPq2cxYO,Sam Kim,"k-ballad,k-pop",53,484917
7LlIWfvgWlDBXfxCvCFbuC,Eloise,,45,190279
5XKFrudbV4IiuE5WuTPRmT,Stephen Sanchez,,71,1869385
7v4imS0moSyGdXyLgVTIV7,Nat King Cole,"christmas,adult standards,vocal jazz",68,2536264
68TCVp5t1Dxi2TvNuYoYK0,OHHYUK,k-ballad,46,134242
0hEurMDQu99nJRq8pTxO14,John Mayer,singer-songwriter,75,6218233
2SY6OktZyMLdOnscX3DCyS,JANNABI,"k-ballad,k-rock",53,781803
3wkl0GrYTJjWoTmGAJRosv,PARK BO GUM,k-ballad,42,89122
5TnQc2N1iKlFjYD7CPGvFc,DAY6,"k-rock,k-pop",65,3866154
7gW0r5CkdEUMm42w9XpyZO,Laufey,,82,8442016
6WeDO4GynFmK4OxwkBzMW8,The Black Skirts,k-rock,55,577307
3M8UUCqb0mIEn5S2lO13yv,Forrest Nolan,bedroom pop,36,39498
3UHyuBA5qay3xcxFr3Z1Y9,Rachael & Vilray,vocal jazz,43,44461
0ufoLkr55gheQNunOgkTae,Leina,j-pop,46,81894
0BJ2EjOqcfgFvlZXNKrNbE,Saja Boys,,80,2188131
0pfVDTchnVMBTzGylIuJNa,Lee Juck,k-ballad,39,114811
2WJj57pxupP1MJCqbDNET4,Fishing in Japan,,22,8995
6zPbaYJp7itQ8p0gPLqf2S,Ra.D,k-ballad,31,30223
